#,question_word,correct_answer_word,system_guess_word,label
1,enormously,tremendously,appropriately,wrong
2,provisions,stipulations,interpretations,wrong
3,haphazardly,randomly,densely,guess
4,prominent,conspicuous,conspicuous,correct
5,zenith,pinnacle,pinnacle,correct
6,flawed,imperfect,imperfect,guess
7,urgently,desperately,desperately,correct
8,consumed,eaten,supplied,wrong
9,advent,coming,coming,correct
10,concisely,succinctly,powerfully,wrong
11,salutes,greetings,greetings,guess
12,solitary,alone,restless,wrong
13,hasten,accelerate,accompany,wrong
14,perseverance,endurance,endurance,correct
15,fanciful,imaginative,logical,wrong
16,showed,demonstrated,repeated,wrong
17,constantly,continually,continually,correct
18,issues,subjects,training,wrong
19,furnish,supply,supply,correct
20,costly,expensive,expensive,correct
21,recognized,acknowledged,welcomed,wrong
22,spot,location,sea,wrong
23,make,earn,borrow,wrong
24,often,frequently,frequently,correct
25,easygoing,relaxed,frontier,guess
26,debate,argument,competition,wrong
27,narrow,thin,thin,correct
28,arranged,planned,discarded,wrong
29,infinite,limitless,relative,wrong
30,showy,striking,incidental,wrong
31,levied,imposed,imposed,correct
32,deftly,skillfully,humorously,wrong
33,distribute,circulate,research,wrong
34,discrepancies,differences,wavelengths,guess
35,prolific,productive,productive,correct
36,unmatched,unequaled,unequaled,guess
37,peculiarly,uniquely,partly,wrong
38,hue,color,color,correct
39,hind,rear,hairy,wrong
40,highlight,accentuate,alter,guess
41,hastily,hurriedly,hurriedly,correct
42,temperate,mild,cold,wrong
43,grin,smile,smile,correct
44,verbally,orally,fittingly,guess
45,physician,doctor,doctor,correct
46,essentially,basically,ordinarily,wrong
47,keen,sharp,sharp,correct
48,situated,positioned,isolated,wrong
49,principal,major,numerous,wrong
50,slowly,gradually,gradually,correct
51,built,constructed,constructed,correct
52,tasks,jobs,jobs,correct
53,unlikely,improbable,improbable,correct
54,halfheartedly,apathetically,apathetically,guess
55,annals,chronicles,chronicles,correct
56,wildly,furiously,abruptly,wrong
57,hailed,acclaimed,addressed,wrong
58,command,mastery,mastery,correct
59,concocted,devised,devised,guess
60,prospective,potential,potential,correct
61,generally,broadly,accurately,wrong
62,sustained,prolonged,lowered,wrong
63,perilous,dangerous,dangerous,correct
64,tranquillity,peacefulness,happiness,wrong
65,dissipate,disperse,disguise,wrong
66,primarily,chiefly,consistently,wrong
67,colloquial,conversational,misunderstood,guess
68,resolved,settled,settled,correct
69,feasible,possible,equitable,wrong
70,expeditiously,rapidly,rapidly,correct
71,percentage,proportion,sample,guess
72,terminated,ended,ended,correct
73,uniform,alike,sharp,wrong
74,figure,solve,divide,wrong
75,sufficient,enough,enough,correct
76,fashion,manner,manner,correct
77,marketed,sold,diluted,guess
78,bigger,larger,larger,correct
79,roots,origins,function,wrong
80,normally,ordinarily,periodically,wrong
