#,question_word,correct_answer_word,system_guess_word,label
1,enormously,tremendously,tremendously,correct
2,provisions,stipulations,jurisdictions,wrong
3,haphazardly,randomly,densely,wrong
4,prominent,conspicuous,ancient,wrong
5,zenith,pinnacle,pinnacle,correct
6,flawed,imperfect,imperfect,correct
7,urgently,desperately,desperately,correct
8,consumed,eaten,eaten,correct
9,advent,coming,coming,correct
10,concisely,succinctly,succinctly,correct
11,salutes,greetings,greetings,correct
12,solitary,alone,fearless,wrong
13,hasten,accelerate,accelerate,correct
14,perseverance,endurance,generosity,wrong
15,fanciful,imaginative,imaginative,correct
16,showed,demonstrated,repeated,wrong
17,constantly,continually,instantly,wrong
18,issues,subjects,benefits,wrong
19,furnish,supply,advise,wrong
20,costly,expensive,expensive,correct
21,recognized,acknowledged,acknowledged,correct
22,spot,location,location,correct
23,make,earn,borrow,wrong
24,often,frequently,hardly,wrong
25,easygoing,relaxed,relaxed,correct
26,debate,argument,election,wrong
27,narrow,thin,clear,wrong
28,arranged,planned,discarded,wrong
29,infinite,limitless,limitless,correct
30,showy,striking,incidental,wrong
31,levied,imposed,imposed,correct
32,deftly,skillfully,skillfully,correct
33,distribute,circulate,commercialize,wrong
34,discrepancies,differences,deposits,wrong
35,prolific,productive,promising,wrong
36,unmatched,unequaled,unrecognized,wrong
37,peculiarly,uniquely,suspiciously,guess
38,hue,color,contrast,wrong
39,hind,rear,rear,correct
40,highlight,accentuate,alter,wrong
41,hastily,hurriedly,hurriedly,correct
42,temperate,mild,mild,correct
43,grin,smile,smile,correct
44,verbally,orally,orally,correct
45,physician,doctor,nurse,wrong
46,essentially,basically,basically,correct
47,keen,sharp,useful,wrong
48,situated,positioned,positioned,correct
49,principal,major,major,correct
50,slowly,gradually,gradually,correct
51,built,constructed,organized,wrong
52,tasks,jobs,materials,wrong
53,unlikely,improbable,improbable,correct
54,halfheartedly,apathetically,apathetically,guess
55,annals,chronicles,chronicles,correct
56,wildly,furiously,distinctively,wrong
57,hailed,acclaimed,addressed,wrong
58,command,mastery,mastery,correct
59,concocted,devised,devised,correct
60,prospective,potential,prominent,wrong
61,generally,broadly,accurately,wrong
62,sustained,prolonged,prolonged,correct
63,perilous,dangerous,binding,wrong
64,tranquillity,peacefulness,weariness,wrong
65,dissipate,disperse,isolate,wrong
66,primarily,chiefly,chiefly,correct
67,colloquial,conversational,conversational,correct
68,resolved,settled,settled,correct
69,feasible,possible,evident,wrong
70,expeditiously,rapidly,repeatedly,wrong
71,percentage,proportion,profit,wrong
72,terminated,ended,evaluated,wrong
73,uniform,alike,hard,wrong
74,figure,solve,list,wrong
75,sufficient,enough,valuable,wrong
76,fashion,manner,manner,correct
77,marketed,sold,diluted,wrong
78,bigger,larger,better,wrong
79,roots,origins,origins,correct
80,normally,ordinarily,permanently,wrong
